set,group,center_hex,old_near_door_center_hex,id_prefix
test,1,A3C55B,9FC059,test_g01
test,2,E31B73,E31B73,test_g02
test,3,184415,184415,test_g03
test,4,72005E,72005E,test_g04
test,5,4BCF8E,49CA8A,test_g05
test,6,CD26C7,CD26C7,test_g06
test,7,55824D,55824D,test_g07
test,8,A06776,A06776,test_g08
test,9,5E2B3A,5E2B3A,test_g09
test,10,1C3D61,1C3D61,test_g10
test,11,D5A9E4,CFA5DF,test_g11
test,12,7EC6BA,7CC2B6,test_g12
test,13,4DC7E8,4CC3E4,test_g13
test,14,D5B811,D0B410,test_g14
test,15,3518AD,3518AD,test_g15
test,16,897618,897618,test_g16
unambiguous,1,5E78A1,5E78A1,unambiguous_g01
unambiguous,2,A0BAE6,9CB5E0,unambiguous_g02
unambiguous,3,83764C,83764C,unambiguous_g03
unambiguous,4,C7B88B,C2B287,unambiguous_g04
unambiguous,5,A8664B,A8664B,unambiguous_g05
unambiguous,6,F1A78A,EBA386,unambiguous_g06
unambiguous,7,AC6619,AC6619,unambiguous_g07
unambiguous,8,F7A75A,F3A458,unambiguous_g08
