id,set,group,label,is_center,center_hex,residual_key,x,y,Y,L,a,b
test_g01_center,test,1,center,True,A3C55B,A3C55B,0.35998,0.47135,48.278,74.999934,-27.574566,48.621364
test_g01_Ldark_Hneg,test,1,Ldark_Hneg,False,A3C55B,,0.441848,0.463079,28.123261,59.999934,0.430407,55.894619
test_g01_Ldark_Hmid,test,1,Ldark_Hmid,False,A3C55B,,0.36485,0.499771,28.123261,59.999934,-27.574566,48.621364
test_g01_Ldark_Hpos,test,1,Ldark_Hpos,False,A3C55B,,0.278912,0.473022,28.123261,59.999934,-48.190956,28.320053
test_g01_Lmid_Hneg,test,1,Lmid_Hneg,False,A3C55B,,0.424925,0.445633,48.278,74.999934,0.430407,55.894619
test_g01_Lmid_Hpos,test,1,Lmid_Hpos,False,A3C55B,,0.286251,0.446308,48.278,74.999934,-48.190956,28.320053
test_g01_Llight_Hneg,test,1,Llight_Hneg,False,A3C55B,,0.411296,0.431541,76.303212,89.999934,0.430407,55.894619
test_g01_Llight_Hmid,test,1,Llight_Hmid,False,A3C55B,,0.355342,0.450655,76.303212,89.999934,-27.574566,48.621364
test_g01_Llight_Hpos,test,1,Llight_Hpos,False,A3C55B,,0.291052,0.427844,76.303212,89.999934,-48.190956,28.320053
test_g02_center,test,2,center,True,E31B73,E31B73,0.49181,0.25666,18.419,50.000416,74.908437,3.923639
test_g02_Ldark_Hneg,test,2,Ldark_Hneg,False,E31B73,,0.350397,0.166262,8.498596,35.000416,66.834429,-34.056247
test_g02_Ldark_Hmid,test,2,Ldark_Hmid,False,E31B73,,0.540233,0.235844,8.498596,35.000416,74.908437,3.923639
test_g02_Ldark_Hpos,test,2,Ldark_Hpos,False,E31B73,,0.634049,0.313553,8.498596,35.000416,62.91079,40.85219
test_g02_Lmid_Hneg,test,2,Lmid_Hneg,False,E31B73,,0.345676,0.193123,18.419,50.000416,66.834429,-34.056247
test_g02_Lmid_Hpos,test,2,Lmid_Hpos,False,E31B73,,0.573551,0.331413,18.419,50.000416,62.91079,40.85219
test_g02_Llight_Hneg,test,2,Llight_Hneg,False,E31B73,,0.34179,0.212643,34.0477,65.000416,66.834429,-34.056247
test_g02_Llight_Hmid,test,2,Llight_Hmid,False,E31B73,,0.459914,0.270099,34.0477,65.000416,74.908437,3.923639
test_g02_Llight_Hpos,test,2,Llight_Hpos,False,E31B73,,0.529975,0.339231,34.0477,65.000416,62.91079,40.85219
test_g03_center,test,3,center,True,184415,184415,0.3075,0.52435,4.4155,25.000072,-26.270898,23.657165
test_g03_Ldark_Hneg,test,3,Ldark_Hneg,False,184415,,1.025094,1.469428,1.126029,10.000072,-10.922682,33.623155
test_g03_Ldark_Hmid,test,3,Ldark_Hmid,False,184415,,0.377518,1.034582,1.126029,10.000072,-26.270898,23.657165
test_g03_Ldark_Hpos,test,3,Ldark_Hpos,False,184415,,0.102726,0.555936,1.126029,10.000072,-34.579847,7.352257
test_g03_Lmid_Hneg,test,3,Lmid_Hneg,False,184415,,0.405615,0.516809,4.4155,25.000072,-10.922682,33.623155
test_g03_Lmid_Hpos,test,3,Lmid_Hpos,False,184415,,0.217123,0.439034,4.4155,25.000072,-34.579847,7.352257
test_g03_Llight_Hneg,test,3,Llight_Hneg,False,184415,,0.388583,0.469797,11.251017,40.000072,-10.922682,33.623155
test_g03_Llight_Hmid,test,3,Llight_Hmid,False,184415,,0.314141,0.467032,11.251017,40.000072,-26.270898,23.657165
test_g03_Llight_Hpos,test,3,Llight_Hpos,False,184415,,0.243328,0.407135,11.251017,40.000072,-34.579847,7.352257
test_g04_center,test,4,center,True,72005E,72005E,0.36941,0.18108,4.4155,25.000072,51.243546,-22.348902
test_g04_Ldark_Hneg,test,4,Ldark_Hneg,False,72005E,,0.175081,0.084574,1.126029,10.000072,33.203762,-44.97649
test_g04_Ldark_Hmid,test,4,Ldark_Hmid,False,72005E,,0.386723,0.13149,1.126029,10.000072,51.243546,-22.348902
test_g04_Ldark_Hpos,test,4,Ldark_Hpos,False,72005E,,0.654144,0.2057,1.126029,10.000072,55.552664,6.267056
test_g04_Lmid_Hneg,test,4,Lmid_Hneg,False,72005E,,0.216364,0.135817,4.4155,25.000072,33.203762,-44.97649
test_g04_Lmid_Hpos,test,4,Lmid_Hpos,False,72005E,,0.541912,0.251127,4.4155,25.000072,55.552664,6.267056
test_g04_Llight_Hneg,test,4,Llight_Hneg,False,72005E,,0.240043,0.171578,11.251017,40.000072,33.203762,-44.97649
test_g04_Llight_Hmid,test,4,Llight_Hmid,False,72005E,,0.358241,0.211565,11.251017,40.000072,51.243546,-22.348902
test_g04_Llight_Hpos,test,4,Llight_Hpos,False,72005E,,0.483461,0.273265,11.251017,40.000072,55.552664,6.267056
test_g05_center,test,5,center,True,4BCF8E,4BCF8E,0.27022,0.43268,48.278,74.999934,-51.230526,22.348931
test_g05_Ldark_Hneg,test,5,Ldark_Hneg,False,4BCF8E,,0.345188,0.500427,28.123261,59.999934,-33.192472,44.970005
test_g05_Ldark_Hmid,test,5,Ldark_Hmid,False,4BCF8E,,0.260322,0.456223,28.123261,59.999934,-51.230526,22.348931
test_g05_Ldark_Hpos,test,5,Ldark_Hpos,False,4BCF8E,,0.194624,0.357558,28.123261,59.999934,-55.541402,-6.260521
test_g05_Lmid_Hneg,test,5,Lmid_Hneg,False,4BCF8E,,0.343164,0.470755,48.278,74.999934,-33.192472,44.970005
test_g05_Lmid_Hpos,test,5,Lmid_Hpos,False,4BCF8E,,0.212752,0.353914,48.278,74.999934,-55.541402,-6.260521
test_g05_Llight_Hneg,test,5,Llight_Hneg,False,4BCF8E,,0.340719,0.449527,76.303212,89.999934,-33.192472,44.970005
test_g05_Llight_Hmid,test,5,Llight_Hmid,False,4BCF8E,,0.277006,0.416419,76.303212,89.999934,-51.230526,22.348931
test_g05_Llight_Hpos,test,5,Llight_Hpos,False,4BCF8E,,0.22614,0.351025,76.303212,89.999934,-55.541402,-6.260521
test_g06_center,test,6,center,True,CD26C7,CD26C7,0.32783,0.1674,18.419,50.000416,77.525774,-46.008103
test_g06_Ldark_Hneg,test,6,Ldark_Hneg,False,CD26C7,,0.163849,0.099577,8.498596,35.000416,44.135239,-78.607073
test_g06_Ldark_Hmid,test,6,Ldark_Hmid,False,CD26C7,,0.326684,0.138884,8.498596,35.000416,77.525774,-46.008103
test_g06_Ldark_Hpos,test,6,Ldark_Hpos,False,CD26C7,,0.555805,0.208595,8.498596,35.000416,90.143341,-1.081299
test_g06_Lmid_Hneg,test,6,Lmid_Hneg,False,CD26C7,,0.189567,0.129405,18.419,50.000416,44.135239,-78.607073
test_g06_Lmid_Hpos,test,6,Lmid_Hpos,False,CD26C7,,0.505853,0.233074,18.419,50.000416,90.143341,-1.081299
test_g06_Llight_Hneg,test,6,Llight_Hneg,False,CD26C7,,0.2085,0.1535,34.0477,65.000416,44.135239,-78.607073
test_g06_Llight_Hmid,test,6,Llight_Hmid,False,CD26C7,,0.327707,0.188936,34.0477,65.000416,77.525774,-46.008103
test_g06_Llight_Hpos,test,6,Llight_Hpos,False,CD26C7,,0.472385,0.249548,34.0477,65.000416,90.143341,-1.081299
test_g07_center,test,7,center,True,55824D,55824D,0.31561,0.44408,18.419,50.000416,-26.266623,23.65618
test_g07_Ldark_Hneg,test,7,Ldark_Hneg,False,55824D,,0.393626,0.482567,8.498596,35.000416,-10.919473,33.620165
test_g07_Ldark_Hmid,test,7,Ldark_Hmid,False,55824D,,0.312819,0.482146,8.498596,35.000416,-26.266623,23.65618
test_g07_Ldark_Hpos,test,7,Ldark_Hpos,False,55824D,,0.236342,0.415518,8.498596,35.000416,-34.575653,7.353541
test_g07_Lmid_Hneg,test,7,Lmid_Hneg,False,55824D,,0.37967,0.449257,18.419,50.000416,-10.919473,33.620165
test_g07_Lmid_Hpos,test,7,Lmid_Hpos,False,55824D,,0.254119,0.394423,18.419,50.000416,-34.575653,7.353541
test_g07_Llight_Hneg,test,7,Llight_Hneg,False,55824D,,0.369137,0.427249,34.0477,65.000416,-10.919473,33.620165
test_g07_Llight_Hmid,test,7,Llight_Hmid,False,55824D,,0.3164,0.420952,34.0477,65.000416,-26.266623,23.65618
test_g07_Llight_Hpos,test,7,Llight_Hpos,False,55824D,,0.265219,0.381565,34.0477,65.000416,-34.575653,7.353541
test_g08_center,test,8,center,True,A06776,A06776,0.37353,0.30534,18.419,50.000416,24.97494,1.306985
test_g08_Ldark_Hneg,test,8,Ldark_Hneg,False,A06776,,0.330895,0.260611,8.498596,35.000416,22.282425,-11.355588
test_g08_Ldark_Hmid,test,8,Ldark_Hmid,False,A06776,,0.39139,0.298197,8.498596,35.000416,24.97494,1.306985
test_g08_Ldark_Hpos,test,8,Ldark_Hpos,False,A06776,,0.429818,0.344064,8.498596,35.000416,20.97544,13.619352
test_g08_Lmid_Hneg,test,8,Lmid_Hneg,False,A06776,,0.327379,0.274722,18.419,50.000416,22.282425,-11.355588
test_g08_Lmid_Hpos,test,8,Lmid_Hpos,False,A06776,,0.40301,0.342549,18.419,50.000416,20.97544,13.619352
test_g08_Llight_Hneg,test,8,Llight_Hneg,False,A06776,,0.32499,0.284026,34.0477,65.000416,22.282425,-11.355588
test_g08_Llight_Hmid,test,8,Llight_Hmid,False,A06776,,0.362256,0.309808,34.0477,65.000416,24.97494,1.306985
test_g08_Llight_Hpos,test,8,Llight_Hpos,False,A06776,,0.386083,0.341006,34.0477,65.000416,20.97544,13.619352
test_g09_center,test,9,center,True,5E2B3A,5E2B3A,0.41044,0.2905,4.4155,25.000072,24.970803,1.308125
test_g09_Ldark_Hneg,test,9,Ldark_Hneg,False,5E2B3A,,0.342506,0.209181,1.126029,10.000072,22.279412,-11.352532
test_g09_Ldark_Hmid,test,9,Ldark_Hmid,False,5E2B3A,,0.465389,0.26781,1.126029,10.000072,24.970803,1.308125
test_g09_Ldark_Hpos,test,9,Ldark_Hpos,False,5E2B3A,,0.564842,0.355245,1.126029,10.000072,20.971287,13.618271
test_g09_Lmid_Hneg,test,9,Lmid_Hneg,False,5E2B3A,,0.334319,0.246354,4.4155,25.000072,22.279412,-11.352532
test_g09_Lmid_Hpos,test,9,Lmid_Hpos,False,5E2B3A,,0.45824,0.344417,4.4155,25.000072,20.971287,13.618271
test_g09_Llight_Hneg,test,9,Llight_Hneg,False,5E2B3A,,0.329557,0.266071,11.251017,40.000072,22.279412,-11.352532
test_g09_Llight_Hmid,test,9,Llight_Hmid,False,5E2B3A,,0.384376,0.301018,11.251017,40.000072,24.970803,1.308125
test_g09_Llight_Hpos,test,9,Llight_Hpos,False,5E2B3A,,0.419294,0.34361,11.251017,40.000072,20.971287,13.618271
test_g10_center,test,10,center,True,1C3D61,1C3D61,0.2081,0.21415,4.4155,25.000072,1.313464,-24.966734
test_g10_Ldark_Hneg,test,10,Ldark_Hneg,False,1C3D61,,0.128897,0.187231,1.126029,10.000072,-11.345874,-22.278558
test_g10_Ldark_Hmid,test,10,Ldark_Hmid,False,1C3D61,,0.161517,0.164108,1.126029,10.000072,1.313464,-24.966734
test_g10_Ldark_Hpos,test,10,Ldark_Hpos,False,1C3D61,,0.231844,0.17292,1.126029,10.000072,13.62086,-20.965094
test_g10_Lmid_Hneg,test,10,Lmid_Hneg,False,1C3D61,,0.183018,0.234984,4.4155,25.000072,-11.345874,-22.278558
test_g10_Lmid_Hpos,test,10,Lmid_Hpos,False,1C3D61,,0.260378,0.219261,4.4155,25.000072,13.62086,-20.965094
test_g10_Llight_Hneg,test,10,Llight_Hneg,False,1C3D61,,0.213527,0.259581,11.251017,40.000072,-11.345874,-22.278558
test_g10_Llight_Hmid,test,10,Llight_Hmid,False,1C3D61,,0.233521,0.24174,11.251017,40.000072,1.313464,-24.966734
test_g10_Llight_Hpos,test,10,Llight_Hpos,False,1C3D61,,0.27439,0.244873,11.251017,40.000072,13.62086,-20.965094
test_g11_center,test,11,center,True,D5A9E4,D5A9E4,0.30272,0.2622,48.278,74.999934,26.282961,-23.658425
test_g11_Ldark_Hneg,test,11,Ldark_Hneg,False,D5A9E4,,0.249145,0.23756,28.123261,59.999934,10.9325,-33.630278
test_g11_Ldark_Hmid,test,11,Ldark_Hmid,False,D5A9E4,,0.300293,0.250661,28.123261,59.999934,26.282961,-23.658425
test_g11_Ldark_Hpos,test,11,Ldark_Hpos,False,D5A9E4,,0.360093,0.280364,28.123261,59.999934,34.590925,-7.347317
test_g11_Lmid_Hneg,test,11,Lmid_Hneg,False,D5A9E4,,0.259203,0.25114,48.278,74.999934,10.9325,-33.630278
test_g11_Lmid_Hpos,test,11,Lmid_Hpos,False,D5A9E4,,0.352554,0.287877,48.278,74.999934,34.590925,-7.347317
test_g11_Llight_Hneg,test,11,Llight_Hneg,False,D5A9E4,,0.266561,0.261266,76.303212,89.999934,10.9325,-33.630278
test_g11_Llight_Hmid,test,11,Llight_Hmid,False,D5A9E4,,0.304387,0.270799,76.303212,89.999934,26.282961,-23.658425
test_g11_Llight_Hpos,test,11,Llight_Hpos,False,D5A9E4,,0.34708,0.293386,76.303212,89.999934,34.590925,-7.347317
test_g12_center,test,12,center,True,7EC6BA,7EC6BA,0.26938,0.34523,48.278,74.999934,-24.956068,-1.311287
test_g12_Ldark_Hneg,test,12,Ldark_Hneg,False,7EC6BA,,0.296028,0.384721,28.123261,59.999934,-22.268233,11.342427
test_g12_Ldark_Hmid,test,12,Ldark_Hmid,False,7EC6BA,,0.260983,0.348294,28.123261,59.999934,-24.956068,-1.311287
test_g12_Ldark_Hpos,test,12,Ldark_Hpos,False,7EC6BA,,0.24026,0.308256,28.123261,59.999934,-20.956946,-13.613642
test_g12_Lmid_Hneg,test,12,Lmid_Hneg,False,7EC6BA,,0.299057,0.374971,48.278,74.999934,-22.268233,11.342427
test_g12_Lmid_Hpos,test,12,Lmid_Hpos,False,7EC6BA,,0.251612,0.312151,48.278,74.999934,-20.956946,-13.613642
test_g12_Llight_Hneg,test,12,Llight_Hneg,False,7EC6BA,,0.30116,0.368121,76.303212,89.999934,-22.268233,11.342427
test_g12_Llight_Hmid,test,12,Llight_Hmid,False,7EC6BA,,0.275438,0.343004,76.303212,89.999934,-24.956068,-1.311287
test_g12_Llight_Hpos,test,12,Llight_Hpos,False,7EC6BA,,0.259909,0.31484,76.303212,89.999934,-20.956946,-13.613642
test_g13_center,test,13,center,True,4DC7E8,4DC7E8,0.22397,0.28399,48.278,74.999934,-23.648547,-26.277142
test_g13_Ldark_Hneg,test,13,Ldark_Hneg,False,4DC7E8,,0.223604,0.325575,28.123261,59.999934,-33.618814,-10.932399
